en,meaning_en,meaning_ja,meaning_zh,meaning_fr,meaning_de,meaning_es,meaning_it,meaning_pt,meaning_ru,meaning_ar,meaning_hi
adult,"Grown person; mature; full-grown; of age.","大人; 成長した人; 成熟した; 完全に成長した; 成人の。","成人; 成年人; 成熟的; 完全成长的; 成年的。","Adulte; personne mature; mature; pleinement développé; majeur.","Erwachsener; erwachsene Person; reif; voll entwickelt; volljährig.","Adulto; persona crecida; maduro; completamente desarrollado; mayor de edad.","Adulto; persona cresciuta; maturo; completamente sviluppato; maggiorenne.","Adulto; pessoa crescida; maduro; completamente desenvolvido; maior de idade.","Взрослый; взрослый человек; зрелый; полностью развитый; совершеннолетний.","بالغ; شخص كبير; ناضج; نما بالكامل; راشد.","वयस्क; बड़ा व्यक्ति; परिपक्व; पूरी तरह विकसित; वयस्क।"
advance,"Progress; improvement; loan; forward movement.","前進; 進歩; 改善; ローン; 前方への動き。","前进; 进步; 改善; 贷款; 向前运动。","Avance; progrès; amélioration; prêt; mouvement vers l'avant.","Fortschritt; Verbesserung; Darlehen; Vorwärtsbewegung.","Avance; progreso; mejora; préstamo; movimiento hacia adelante.","Avanzamento; progresso; miglioramento; prestito; movimento in avanti.","Avanço; progresso; melhoria; empréstimo; movimento para frente.","Прогресс; улучшение; заём; движение вперёд.","تقدم; تحسن; تحسين; قرض; حركة إلى الأمام.","प्रगति; सुधार; सुधार; ऋण; आगे की गति।"
advantage,"Benefit; edge; profit; superiority.","利点; 利益; エッジ; 利益; 優位性。","优势; 利益; 边缘; 利润; 优越性。","Avantage; bénéfice; avantage; profit; supériorité.","Vorteil; Nutzen; Vorteil; Gewinn; Überlegenheit.","Ventaja; beneficio; ventaja; ganancia; superioridad.","Vantaggio; beneficio; vantaggio; profitto; superiorità.","Vantagem; benefício; vantagem; lucro; superioridade.","Преимущество; польза; преимущество; прибыль; превосходство.","ميزة; فائدة; ميزة; ربح; تفوق.","लाभ; फायदा; बढ़त; लाभ; श्रेष्ठता।"
adventure,"Exciting experience; journey; quest; exploration.","冒険; エキサイティングな体験; 旅; クエスト; 探索。","冒险; 激动人心的经历; 旅程; 探索; 探险。","Aventure; expérience passionnante; voyage; quête; exploration.","Abenteuer; aufregendes Erlebnis; Reise; Quest; Erkundung.","Aventura; experiencia emocionante; viaje; búsqueda; exploración.","Avventura; esperienza emozionante; viaggio; ricerca; esplorazione.","Aventura; experiência emocionante; jornada; busca; exploração.","Приключение; захватывающий опыт; путешествие; поиск; исследование.","مغامرة; تجربة مثيرة; رحلة; بحث; استكشاف.","रोमांच; रोमांचक अनुभव; यात्रा; खोज; अन्वेषण।"
adversary,"An opponent or enemy.","敵手; 相手または敵。","对手; 对手或敌人。","Adversaire; opposant ou ennemi.","Gegner; Opponent oder Feind.","Adversario; oponente o enemigo.","Avversario; opponente o nemico.","Adversário; oponente ou inimigo.","Противник; оппонент или враг.","خصم; منافس أو عدو.","प्रतिद्वंद्वी; विरोधी या शत्रु।"
adversity,"Difficult or unpleasant situation.","逆境; 困難または不快な状況。","逆境; 困难或不愉快的情况。","Adversité; situation difficile ou désagréable.","Widrigkeiten; schwierige oder unangenehme Situation.","Adversidad; situación difícil o desagradable.","Avversità; situazione difficile o spiacevole.","Adversidade; situação difícil ou desagradável.","Невзгоды; трудная или неприятная ситуация.","شدة; موقف صعب أو غير سار.","विपत्ति; कठिन या अप्रिय स्थिति।"
advertisement,"Commercial; promotion; ad; publicity.","広告; コマーシャル; プロモーション; 広告; 宣伝。","广告; 商业广告; 推广; 广告; 宣传。","Publicité; commercial; promotion; pub; publicité.","Werbung; Werbung; Promotion; Anzeige; Publicity.","Publicidad; comercial; promoción; anuncio; publicidad.","Pubblicità; commerciale; promozione; annuncio; pubblicità.","Propaganda; comercial; promoção; anúncio; publicidade.","Реклама; коммерческая реклама; продвижение; объявление; реклама.","إعلان; تجاري; ترويج; إعلان; دعاية.","विज्ञापन; वाणिज्यिक; प्रचार; विज्ञापन; प्रसार।"
advertiser,"Person who advertises; company promoting products; marketing professional.","広告主; 広告する人; 商品を宣伝する会社; マーケティング専門家。","广告商; 做广告的人; 推广产品的公司; 营销专业人士。","Annonceur; personne qui fait de la publicité; entreprise promouvant des produits; professionnel du marketing.","Werber; Person, die wirbt; Unternehmen, das Produkte bewirbt; Marketing-Profi.","Anunciante; persona que anuncia; empresa que promociona productos; profesional de marketing.","Inserzionista; persona che pubblicizza; azienda che promuove prodotti; professionista del marketing.","Anunciante; pessoa que anuncia; empresa promovendo produtos; profissional de marketing.","Рекламодатель; лицо, размещающее рекламу; компания, продвигающая товары; маркетолог.","معلن; شخص يعلن; شركة تروج للمنتجات; محترف تسويق.","विज्ञापनकर्ता; विज्ञापन देने वाला व्यक्ति; उत्पादों का प्रचार करने वाली कंपनी; मार्केटिंग पेशेवर।"
advice,"Counsel; guidance; suggestion; recommendation.","アドバイス; 助言; 指導; 提案; 推薦。","建议; 忠告; 指导; 建议; 推荐。","Conseil; conseil; guidance; suggestion; recommandation.","Rat; Beratung; Anleitung; Vorschlag; Empfehlung.","Consejo; asesoramiento; orientación; sugerencia; recomendación.","Consiglio; consulenza; guida; suggerimento; raccomandazione.","Conselho; aconselhamento; orientação; sugestão; recomendação.","Совет; консультация; руководство; предложение; рекомендация.","نصيحة; استشارة; إرشاد; اقتراح; توصية.","सलाह; परामर्श; मार्गदर्शन; सुझाव; सिफारिश।"
adviser,"A person who gives advice in a particular field.","アドバイザー; 特定の分野でアドバイスを与える人。","顾问; 在特定领域提供建议的人。","Conseiller; personne qui donne des conseils dans un domaine particulier.","Berater; Person, die Rat in einem bestimmten Bereich gibt.","Asesor; persona que da consejos en un campo particular.","Consulente; persona che dà consigli in un campo particolare.","Conselheiro; pessoa que dá conselhos em uma área particular.","Консультант; лицо, дающее советы в определённой области.","مستشار; شخص يقدم المشورة في مجال معين.","सलाहकार; किसी विशेष क्षेत्र में सलाह देने वाला व्यक्ति।"
